name,num_var,num_const,isconstraint,isbounded,importtime
10FOLDTR,1000,1000,True,False,0.1731390228960663
3PK,30,0,False,False,0.0011416610796004534
A0ENDNDL,45006,15002,True,False,0.15068074106238782
A0ENINDL,45006,15002,True,False,0.33508671913295984
A0ENSNDL,45006,15002,True,False,0.3180532259866595
A0ESDNDL,45006,15002,True,False,0.149200479965657
A0ESINDL,45006,15002,True,False,0.34981605503708124
A0ESSNDL,45006,15002,True,False,0.32890777895227075
A0NNDNDL,60012,20004,True,False,0.40835987590253353
A0NNDNIL,60012,20004,True,False,0.20759919611737132
A0NNDNSL,60012,20004,True,False,0.20409131702035666
A0NNSNSL,60012,20004,True,False,0.42013211408630013
A0NSDSDL,60012,20004,True,False,0.2010966839734465
A0NSDSDS,6012,2004,True,False,0.04201215296052396
A0NSDSIL,60012,20004,True,False,0.4096647340338677
A0NSDSSL,60012,20004,True,False,0.42150385002605617
A0NSSSSL,60012,20004,True,False,0.4273449219763279
A2ENDNDL,45006,15002,True,False,0.3479532808996737
A2ENINDL,45006,15002,True,False,0.3018416790291667
A2ENSNDL,45006,15002,True,False,0.29326092707924545
A2ESDNDL,45006,15002,True,False,0.30218594800680876
A2ESINDL,45006,15002,True,False,0.16547423601150513
A2ESSNDL,45006,15002,True,False,0.38913579494692385
A2NNDNDL,60012,20004,True,False,0.5647759020794183
A2NNDNIL,60012,20004,True,False,0.2079893930349499
A2NNDNSL,60012,20004,True,False,0.416677009081468
A2NNSNSL,60012,20004,True,False,0.20178599492646754
A2NSDSDL,60012,20004,True,False,0.38833825616165996
A2NSDSIL,60012,20004,True,False,0.20186792104505002
A2NSDSSL,60012,20004,True,False,0.38960369187407196
A2NSSSSL,60012,20004,True,False,0.397405857918784
A4X12,130,385,True,False,0.03297877102158964
A5ENDNDL,45006,15002,True,False,0.2960580938961357
A5ENINDL,45006,15002,True,False,0.2986934401560575
A5ENSNDL,45006,15002,True,False,0.1481431140564382
A5ESDNDL,45006,15002,True,False,0.3221102370880544
A5ESINDL,45006,15002,True,False,0.1477186088450253
A5ESSNDL,45006,15002,True,False,0.2874468839727342
A5NNDNDL,60012,20004,True,False,0.4081495110876858
A5NNDNIL,60012,20004,True,False,0.4177332748658955
A5NNDNSL,60012,20004,True,False,0.4514219150878489
A5NNSNSL,60012,20004,True,False,0.20410002791322768
A5NSDSDL,60012,20004,True,False,0.20390582783147693
